기획년도,주차,카테고리,판매수량,판매액,평균 택가,평균 원가,주차별 평균 실판매가,월,월별 평균 실판매가,년도별 평균 실판매가,실판매가,할인율,시즌이월,매출원가계,판매택가계,누적판매수량,누적판매액,누적매출원가,누적판매택가
2021,2021-01-24,봄_수트_수트팬츠_ZC,50,3893756,125667.0,23973.0,78357.0,1,79459.0,62248.0,77875.0,38.0,01_시즌,1198650.0,6283350.0,160,12680366,3835680.0,20106720.0
2021,2021-01-24,봄_스웨터_T-에리_ZB,143,3802605,99900.0,9848.0,26592.0,1,48735.0,34775.0,26592.0,73.0,01_시즌,1408264.0,14285700.0,698,38355382,6873904.0,69730200.0
2021,2021-01-24,봄_스웨터_라운드_ZB,1517,61504926,94900.0,8929.0,40548.0,1,40590.0,34180.0,40544.0,57.0,01_시즌,13545293.0,143963300.0,3993,165315084,35653497.0,378935700.0
2021,2021-01-24,봄_스웨터_오픈형(CARDIGAN)_ZB,109,7147019,159900.0,14254.0,66755.0,1,152746.0,62254.0,65569.0,59.0,01_시즌,1553686.0,17429100.0,366,29531789,5216964.0,58523400.0
2021,2021-01-24,봄_우븐 셔츠_드레스셔츠_ZB,122,4255380,69900.0,5929.0,34880.0,1,40055.0,28275.0,34880.0,50.0,01_시즌,723338.0,8527800.0,368,14298790,2181872.0,25723200.0
2021,2021-01-24,봄_우븐 셔츠_캐쥬얼셔츠_ZB,439,14676457,69900.0,8024.0,33294.0,1,38520.0,26888.0,33432.0,52.0,01_시즌,3522536.0,30686100.0,1031,37113746,8272744.0,72066900.0
2021,2021-01-24,봄_점퍼_패딩점퍼_ZB,90,8427007,199000.0,19336.0,93633.0,1,119480.0,89466.0,93633.0,53.0,01_시즌,1740240.0,17910000.0,312,40066595,6032832.0,62088000.0
2021,2021-01-24,봄_조끼_패딩베스트_ZB,2,157463,79000.0,10099.0,78732.0,1,30723.0,16201.0,78732.0,0.0,01_시즌,20198.0,158000.0,1017,14641488,10270683.0,80343000.0
2021,2021-01-24,봄_코트_더블코트_ZB,22,3314807,329000.0,34815.0,150673.0,1,243505.0,107074.0,150673.0,54.0,01_시즌,765930.0,7238000.0,100,19779807,3481410.0,32900000.0
2021,2021-01-24,봄_코트_싱글코트_ZB,289,38637800,249000.0,25439.0,132396.0,1,178906.0,100021.0,133695.0,46.0,01_시즌,7351871.0,71961000.0,558,90440800,14185087.0,138942000.0
2021,2021-01-24,사계절_데님_데님팬츠_ZB,78,5910700,79900.0,11720.0,76741.0,1,75709.0,51123.0,75778.0,5.0,01_시즌,914160.0,6232200.0,125,9569170,1465000.0,9987500.0
2021,2021-01-24,사계절_수트_블레이져(수트)_ZB,569,65797500,199000.0,36613.0,106224.0,1,122518.0,134016.0,115637.0,42.0,01_시즌,20832797.0,113231000.0,2123,262964426,76614087.0,422477000.0
2021,2021-01-24,사계절_수트_수트팬츠_ZB,688,43125700,99000.0,17285.0,57812.0,1,66125.0,67813.0,62683.0,37.0,01_시즌,11892080.0,68112000.0,2527,170973692,42842050.0,250173000.0
2021,2021-01-24,사계절_우븐 셔츠_드레스셔츠_ZB,1525,46197943,56567.0,7777.0,36014.0,1,38629.0,32928.0,30294.0,46.0,01_시즌,11859925.0,86264675.0,4954,167428851,38527258.0,280232918.0
2021,2021-01-24,사계절_우븐 셔츠_드레스셔츠_ZC,14,382000,39900.0,7535.0,27286.0,1,30812.0,28709.0,27286.0,32.0,01_시즌,105490.0,558600.0,60,1898800,452100.0,2394000.0
2021,2021-01-24,사계절_자켓_싱글재킷_ZB,0,0,199000.0,23618.0,,1,199000.0,110719.0,199000.0,0.0,01_시즌,0.0,0.0,0,0,0.0,0.0
2021,2021-01-24,사계절_팬츠_팬츠(일반)_ZB,110,6691440,69900.0,10105.0,60831.0,1,57987.0,41957.0,60831.0,13.0,01_시즌,1111550.0,7689000.0,363,24140420,3668115.0,25373700.0
2021,2021-01-24,여름_우븐 셔츠_드레스셔츠_ZB,0,0,69900.0,6329.0,,1,,23706.0,23706.0,66.0,01_시즌,0.0,0.0,0,0,0.0,0.0
2021,2021-01-31,봄_가죽&FUR_가죽점퍼_ZA,170,83960000,999000.0,204500.0,493421.0,1,530682.0,455750.0,493882.0,51.0,01_시즌,34765000.0,169830000.0,461,228671500,94274500.0,460539000.0
2021,2021-01-31,봄_니트 셔츠_라운드_ZB,1167,29689296,69900.0,7574.0,33454.0,1,41774.0,24107.0,25441.0,64.0,01_시즌,8838858.0,81573300.0,3008,111789328,23305496.0,210259200.0
2021,2021-01-31,봄_수트_블레이져(수트)_ZA,133,22282870,319000.0,53744.0,188100.0,1,188353.0,166517.0,167540.0,47.0,01_시즌,7147952.0,42427000.0,492,83436101,26704302.0,159128000.0
2021,2021-01-31,봄_수트_블레이져(수트)_ZB,217,31567544,199000.0,40583.0,148671.0,1,160160.0,125211.0,145473.0,27.0,01_시즌,8806511.0,43183000.0,1300,196202485,52757900.0,258700000.0
2021,2021-01-31,봄_수트_블레이져(수트)_ZC,41,6268400,239000.0,46064.0,154124.0,1,160403.0,124769.0,152888.0,36.0,01_시즌,1888624.0,9799000.0,216,34063820,9949824.0,51624000.0
2021,2021-01-31,봄_수트_수트팬츠_ZA,147,12779070,179000.0,30103.0,100535.0,1,104290.0,91701.0,86932.0,51.0,01_시즌,4425141.0,26313000.0,555,50373609,16965469.0,101051624.0
2021,2021-01-31,봄_수트_수트팬츠_ZB,256,18594456,99000.0,20850.0,72625.0,1,74954.0,64274.0,72635.0,27.0,01_시즌,5337600.0,25344000.0,1506,113358426,31400100.0,149094000.0
2021,2021-01-31,봄_수트_수트팬츠_ZC,41,2955074,125667.0,23973.0,74075.0,1,79459.0,62248.0,72075.0,43.0,01_시즌,982893.0,5152347.0,201,15635440,4818573.0,25259067.0
2021,2021-01-31,봄_스웨터_T-에리_ZB,438,18381489,99900.0,9848.0,41967.0,1,48735.0,34775.0,41967.0,58.0,01_시즌,4313424.0,43756200.0,1136,56736871,11187328.0,113486400.0
2021,2021-01-31,봄_스웨터_라운드_ZB,1297,55998890,94900.0,8929.0,43254.0,1,40590.0,34180.0,43176.0,55.0,01_시즌,11580913.0,123085300.0,5290,221313974,47234410.0,502021000.0
2021,2021-01-31,봄_스웨터_오픈형(CARDIGAN)_ZB,46,4636065,159900.0,14254.0,390714.0,1,152746.0,62254.0,100784.0,37.0,01_시즌,655684.0,7355400.0,412,34167854,5872648.0,65878800.0
2021,2021-01-31,봄_우븐 셔츠_드레스셔츠_ZB,160,6105100,69900.0,5929.0,38157.0,1,40055.0,28275.0,38157.0,45.0,01_시즌,948640.0,11184000.0,528,20403890,3130512.0,36907200.0
2021,2021-01-31,봄_우븐 셔츠_캐쥬얼셔츠_ZB,311,10146759,69900.0,8024.0,33471.0,1,38520.0,26888.0,32626.0,53.0,01_시즌,2495464.0,21738900.0,1342,47260505,10768208.0,93805800.0
2021,2021-01-31,봄_점퍼_패딩점퍼_ZB,101,10278560,199000.0,19336.0,101768.0,1,119480.0,89466.0,101768.0,49.0,01_시즌,1952936.0,20099000.0,413,50345155,7985768.0,82187000.0
2021,2021-01-31,봄_조끼_패딩베스트_ZB,44,870941,79000.0,10099.0,19794.0,1,30723.0,16201.0,19794.0,75.0,01_시즌,444356.0,3476000.0,1061,15512429,10715039.0,83819000.0
2021,2021-01-31,봄_코트_더블코트_ZB,8,1038419,329000.0,34815.0,129802.0,1,243505.0,107074.0,129802.0,61.0,01_시즌,278520.0,2632000.0,108,20818226,3759930.0,35532000.0
2021,2021-01-31,봄_코트_싱글코트_ZB,206,24410382,249000.0,25439.0,129328.0,1,178906.0,100021.0,118497.0,52.0,01_시즌,5240434.0,51294000.0,764,114851182,19425521.0,190236000.0
2021,2021-01-31,사계절_데님_데님팬츠_ZB,67,4837063,79900.0,11720.0,72667.0,1,75709.0,51123.0,72195.0,10.0,01_시즌,785240.0,5353300.0,192,14406233,2250240.0,15340800.0
2021,2021-01-31,사계절_수트_블레이져(수트)_ZB,795,91228080,199000.0,36613.0,108823.0,1,122518.0,134016.0,114752.0,42.0,01_시즌,29107335.0,158205000.0,2918,354192506,105721422.0,580682000.0
2021,2021-01-31,사계절_수트_수트팬츠_ZB,1011,59744380,99000.0,17285.0,57130.0,1,66125.0,67813.0,59094.0,40.0,01_시즌,17475135.0,100089000.0,3538,230718072,60317185.0,350262000.0
2021,2021-01-31,사계절_우븐 셔츠_드레스셔츠_ZB,1790,55609468,56567.0,7777.0,36769.0,1,38629.0,32928.0,31067.0,45.0,01_시즌,13920830.0,101254930.0,6744,223038319,52448088.0,381487848.0
2021,2021-01-31,사계절_우븐 셔츠_드레스셔츠_ZC,15,427000,39900.0,7535.0,28467.0,1,30812.0,28709.0,28467.0,29.0,01_시즌,113025.0,598500.0,75,2325800,565125.0,2992500.0
2021,2021-01-31,사계절_자켓_싱글재킷_ZB,31,6169000,199000.0,23618.0,199000.0,1,199000.0,110719.0,199000.0,0.0,01_시즌,732158.0,6169000.0,31,6169000,732158.0,6169000.0
2021,2021-01-31,사계절_팬츠_팬츠(일반)_ZB,765,34198855,64900.0,10275.0,51074.0,1,57987.0,41957.0,44704.0,31.0,01_시즌,7860375.0,49648500.0,1128,58339275,11528490.0,75022200.0
2021,2021-01-31,여름_우븐 셔츠_드레스셔츠_ZB,0,0,69900.0,6329.0,,1,,23706.0,23706.0,66.0,01_시즌,0.0,0.0,0,0,0.0,0.0
2021,2021-02-07,봄_가죽&FUR_가죽점퍼_ZA,18,8424547,999000.0,204500.0,491752.0,2,455310.0,455750.0,468030.0,53.0,01_시즌,3681000.0,17982000.0,479,237096047,97955500.0,478521000.0
2021,2021-02-07,봄_니트 셔츠_라운드_ZB,1918,58459176,69900.0,7585.0,29533.0,2,29542.0,24107.0,30479.0,56.0,01_시즌,14548030.0,134068200.0,4926,170248504,37853526.0,344327400.0
2021,2021-02-07,봄_수트_블레이져(수트)_ZA,99,15636810,319000.0,53744.0,164175.0,2,160208.0,166517.0,157948.0,50.0,01_시즌,5320656.0,31581000.0,591,99072911,32024958.0,190709000.0
2021,2021-02-07,봄_수트_블레이져(수트)_ZB,479,60843498,199000.0,40583.0,124303.0,2,122565.0,125211.0,127022.0,36.0,01_시즌,19439257.0,95321000.0,1779,257045983,72197157.0,354021000.0
2021,2021-02-07,봄_수트_블레이져(수트)_ZC,66,10180840,239000.0,46064.0,153476.0,2,144612.0,124769.0,154255.0,35.0,01_시즌,3040224.0,15774000.0,282,44244660,12990048.0,67398000.0
2021,2021-02-07,봄_수트_수트팬츠_ZA,107,8525840,179000.0,30103.0,87494.0,2,85318.0,91701.0,79681.0,55.0,01_시즌,3221021.0,19153000.0,662,58899449,20186490.0,120204624.0
2021,2021-02-07,봄_수트_수트팬츠_ZB,534,33565294,99000.0,20850.0,61421.0,2,60628.0,64274.0,62856.0,37.0,01_시즌,11133900.0,52866000.0,2040,146923720,42534000.0,201960000.0
2021,2021-02-07,봄_수트_수트팬츠_ZC,45,3427380,125667.0,23973.0,76523.0,2,73507.0,62248.0,76164.0,39.0,01_시즌,1078785.0,5655015.0,246,19062820,5897358.0,30914082.0
