기획년도,주차,카테고리,라인,시즌이월,시즌,복종,소품종,성별,총입고수량,판매수량,판매액,평균택가,평균원가,총입고원가,총입고택가,매출원가계,판매택가계,주차별_평균_실판매가,월,월별_평균_실판매가,시즌별_평균_실판매가,실판매가,할인율,누적판매수량,누적판매액,누적매출원가,누적판매택가,누적판매율,ROI,맑음,흐림,비,강한 비,눈,강한 눈,진눈깨비,악천후일수,평균기온(도)
2024,2024-03-17,여름_수트_블레이져(수트)_ZA,ZA,01_시즌,여름,수트,블레이져(수트),1:남성,5525,47,12749100,399000,77369,427465935,2204475000,3636362,18753000,293111.0,3,296372.0,226639,271257.0,32.0,232,63116300,16558625,87618000,4.2,0.1,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_팬츠_팬츠(일반)_ZG,ZG,01_시즌,여름,팬츠,팬츠(일반),1:남성,2600,0,0,129000,19582,50913200,335400000,0,0,,3,,52906,52906.0,59.0,0,0,0,0,0.0,0.0,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_수트_블레이져(수트)_ZB,ZB,01_시즌,여름,수트,블레이져(수트),1:남성,22507,502,111103380,279000,52695,1186002614,6279453000,26452806,140058000,221959.0,3,216829.0,172622,221321.0,21.0,2812,612646840,148344966,784548000,12.49,0.34,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_스웨터_T-에리_ZB,ZB,01_시즌,여름,스웨터,T-에리,1:남성,50633,253,15596500,91500,12596,637785926,4632919500,3186851,23149500,68988.0,3,62657.0,46484,61646.0,33.0,651,40678800,8200158,59566500,1.29,0.05,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_수트_수트팬츠_ZA,ZA,01_시즌,여름,수트,수트팬츠,1:남성,6624,47,7217700,231000,41682,276100243,1530144000,1959045,10857000,167601.0,3,170912.0,131175,153568.0,34.0,249,38013500,9381918,53550000,3.76,0.09,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_스웨터_라운드_ZA,ZA,01_시즌,여름,스웨터,라운드,1:남성,1982,0,0,109000,13614,26982948,216038000,0,0,,3,69116.0,43929,69116.0,37.0,0,0,0,0,0.0,0.0,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_팬츠_팬츠(일반)_ZB,ZB,01_시즌,여름,팬츠,팬츠(일반),1:남성,46305,415,28388800,99000,11879,550047834,4584195000,4929702,41085000,68757.0,3,66054.0,43278,68407.0,31.0,858,59038000,10010034,84942000,1.85,0.08,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_스웨터_오픈형(CARDIGAN)_ZA,ZA,01_시즌,여름,스웨터,오픈형(CARDIGAN),1:남성,2713,17,1509300,129000,14208,38546304,349977000,241536,2193000,88782.0,3,82512.0,55037,88782.0,31.0,17,1509300,241536,2193000,0.63,0.03,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_우븐 셔츠_캐쥬얼셔츠_ZA,ZA,01_시즌,여름,우븐 셔츠,캐쥬얼셔츠,1:남성,8468,139,8928800,85667,9704,82170649,725425333,1348810,11907667,61968.0,3,59797.0,41674,64236.0,25.0,454,29056380,4301431,39699334,5.36,0.27,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_우븐 셔츠_캐쥬얼셔츠_ZB,ZB,01_시즌,여름,우븐 셔츠,캐쥬얼셔츠,1:남성,53613,455,18696280,79000,8769,470125695,4235427000,3989838,35945000,41752.0,3,44504.0,33015,41091.0,48.0,1767,87744650,15583674,139593000,3.3,0.14,7,0,0,0,0,0,0,0,7.9
