,주차,카테고리,판매액,판매수량,매출원가,판매택가,실판매가,택가,할인율,할인율2
125,2021-01-24,코트_더블코트_ZB,3314807,22,763941,7238000,150673.04545454544,329000.0,54.202721746338774,54.20272174633877
126,2021-01-24,코트_싱글코트_ZB,38637800,289,7364756,71961000,133694.80968858133,249000.0,46.30730534595128,46.30730534595128
127,2021-01-24,데님_데님팬츠_ZB,5910700,78,915758,6232200,75778.20512820513,79900.0,5.158691954686952,5.158691954686948
131,2021-01-24,수트_블레이져(수트)_ZB,65797500,569,19733184,113231000,115637.08260105448,199000.0,41.890913265801764,41.89091326580177
132,2021-01-24,수트_수트팬츠_ZB,43125700,688,11556199,68112000,62682.70348837209,99000.0,36.68413789053324,36.684137890533236
133,2021-01-24,우븐 셔츠_드레스셔츠_ZB,46197943,1525,10813095,76397500,30293.733114754097,50096.72131147541,39.52950947347754,39.52950947347753
134,2021-01-24,자켓_싱글재킷_ZB,0,0,0,0,0.0,0.0,0.0,0.0
135,2021-01-24,팬츠_팬츠(일반)_ZB,6691440,110,1111574,7689000,60831.27272727273,69900.0,12.973858759266482,12.973858759266484
136,2021-01-24,수트_수트팬츠_ZB,0,0,0,0,0.0,0.0,0.0,0.0
137,2021-01-24,우븐 셔츠_드레스셔츠_ZB,0,0,0,0,0.0,0.0,0.0,0.0
138,2021-01-24,조끼_패딩베스트_ZB,157463,2,22324,158000,78731.5,79000.0,0.33987341772151897,0.33987341772151897
139,2021-01-24,수트_블레이져(수트)_ZC,8389120,53,2443343,12467000,158285.28301886792,235226.4150943396,32.709392796984034,32.70939279698404
140,2021-01-24,수트_수트팬츠_ZC,3893756,50,1197410,6070000,77875.12,121400.0,35.852454695222406,35.852454695222406
141,2021-01-24,우븐 셔츠_드레스셔츠_ZC,382000,14,105497,558600,27285.714285714286,39900.0,31.614751163623342,31.614751163623342
153,2021-01-31,가죽&FUR_가죽점퍼_ZA,83960000,170,34807000,169830000,493882.35294117645,999000.0,50.56232703291527,50.56232703291527
154,2021-01-31,수트_블레이져(수트)_ZA,22282870,133,6636127,39367000,167540.37593984962,295992.4812030075,43.39708385195723,43.39708385195722
155,2021-01-31,수트_수트팬츠_ZA,12779070,147,4020199,23873000,86932.44897959183,162401.3605442177,46.47061533950488,46.47061533950488
157,2021-01-31,니트 셔츠_라운드_ZB,29689296,1167,9987576,81573300,25440.699228791775,69900.0,63.6041498872793,63.60414988727929
158,2021-01-31,수트_블레이져(수트)_ZB,31567544,217,8916963,43183000,145472.5529953917,199000.0,26.898214575180045,26.89821457518005
159,2021-01-31,수트_수트팬츠_ZB,18594456,256,5399584,25344000,72634.59375,99000.0,26.631723484848486,26.631723484848486
160,2021-01-31,스웨터_T-에리_ZB,18381489,438,4313584,43756200,41966.8698630137,99900.0,57.99112125824455,57.99112125824455
161,2021-01-31,스웨터_라운드_ZB,55998890,1297,11137522,121040300,43175.70547417116,93323.28450269853,53.735334429937794,53.7353344299378
162,2021-01-31,스웨터_오픈형(CARDIGAN)_ZB,4636065,46,697829,7355400,100784.02173913043,159900.0,36.97059303368954,36.97059303368953
163,2021-01-31,우븐 셔츠_드레스셔츠_ZB,6105100,160,948656,11184000,38156.875,69900.0,45.41219599427754,45.41219599427754
164,2021-01-31,우븐 셔츠_캐쥬얼셔츠_ZB,10146759,311,2456950,21738900,32626.234726688104,69900.0,53.32441383878669,53.32441383878669
165,2021-01-31,점퍼_패딩점퍼_ZB,10278560,101,1952893,20099000,101767.92079207921,199000.0,48.86034131051296,48.86034131051296
166,2021-01-31,코트_더블코트_ZB,1038419,8,277391,2632000,129802.375,329000.0,60.5463905775076,60.5463905775076
167,2021-01-31,코트_싱글코트_ZB,24410382,206,5251943,51294000,118497.0,249000.0,52.410843373493975,52.410843373493975
168,2021-01-31,데님_데님팬츠_ZB,4837063,67,786802,5353300,72194.97014925373,79900.0,9.64334149029571,9.643341490295706
172,2021-01-31,수트_블레이져(수트)_ZB,91228080,795,29044657,158205000,114752.30188679245,199000.0,42.33552669005404,42.335526690054046
173,2021-01-31,수트_수트팬츠_ZB,59744380,1011,17847390,100089000,59094.342235410484,99000.0,40.30874521675709,40.30874521675709
174,2021-01-31,우븐 셔츠_드레스셔츠_ZB,55609468,1790,12877928,94061000,31066.741899441342,52548.04469273743,40.8793570130022,40.8793570130022
175,2021-01-31,자켓_싱글재킷_ZB,6169000,31,732161,6169000,199000.0,199000.0,0.0,0.0
176,2021-01-31,팬츠_팬츠(일반)_ZB,34198855,765,7753290,52803500,44704.38562091503,69024.18300653595,35.233734506235386,35.23373450623538
177,2021-01-31,수트_수트팬츠_ZB,0,0,0,0,0.0,0.0,0.0,0.0
178,2021-01-31,우븐 셔츠_드레스셔츠_ZB,0,0,0,0,0.0,0.0,0.0,0.0
179,2021-01-31,조끼_패딩베스트_ZB,870941,44,389112,3476000,19794.113636363636,79000.0,74.94415995397009,74.94415995397009
180,2021-01-31,수트_블레이져(수트)_ZC,6268400,41,1850248,9359000,152887.80487804877,228268.29268292684,33.022758841756605,33.0227588417566
181,2021-01-31,수트_수트팬츠_ZC,2955074,41,954705,4859000,72074.9756097561,118512.19512195123,39.18349454620292,39.18349454620292
182,2021-01-31,우븐 셔츠_드레스셔츠_ZC,427000,15,113032,598500,28466.666666666668,39900.0,28.654970760233915,28.65497076023392
194,2021-02-07,가죽&FUR_가죽점퍼_ZA,8424547,18,3687000,17982000,468030.3888888889,999000.0,53.15011122233344,53.15011122233344
