Unnamed: 0,주차,라인,성별,기획년도,시즌이월,상품년차,시즌,복종,소품종,카테고리,할인율,판매액,판매수량,매출원가,판매택가
166,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),수트_블레이져(수트)_ZB,38.80836779284979,63371228,508,20775825,101092000
167,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,수트_수트팬츠_ZB,39.33878826476223,33234251,538,11266458,53262000
168,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,T-에리,스웨터_T-에리_ZB,55.685302693998345,35637658,805,7927948,80419500
169,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,스웨터_라운드_ZB,57.18809012476813,102622868,2545,21559852,235765500
170,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,오픈형(CARDIGAN),스웨터_오픈형(CARDIGAN)_ZB,55.10868255347077,29519539,411,5933985,65718900
171,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,63.05508348455608,3847850,149,883436,10415100
173,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,봄,점퍼,패딩점퍼,점퍼_패딩점퍼_ZB,43.17615842369744,42970189,380,7347518,75620000
175,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,봄,코트,싱글코트,코트_싱글코트_ZB,43.8752628462738,86517400,625,16348249,155625000
176,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,사계절,니트 셔츠,라운드,니트 셔츠_라운드_ZB,0.0,0,0,0,0
177,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,사계절,데님,데님팬츠,데님_데님팬츠_ZB,9.466969630041117,13486710,186,2183361,14861400
178,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,블레이져(수트),수트_블레이져(수트)_ZB,48.01853785358681,131898902,1264,45008934,251536000
179,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,수트팬츠,수트_수트팬츠_ZB,39.94334151233927,79344884,1309,22825608,129591000
180,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,36.58046285889167,51466855,1643,11839676,85535700
181,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,사계절,자켓,싱글재킷,자켓_싱글재킷_ZB,41.10511909139192,14415700,123,2905025,24477000
183,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,블레이져(수트),수트_블레이져(수트)_ZB,3.703703703703704,10348000,54,2311202,10746000
184,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,수트팬츠,수트_수트팬츠_ZB,2.57029757029757,7137700,74,1640674,7326000
185,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,여름,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,12.058243010596252,18134030,295,1867112,20620500
187,2021-02-14,ZB,4:기타,2021,01_시즌,당해년도,봄,조끼,패딩베스트,조끼_패딩베스트_ZB,82.54794371706416,3212400,233,2356342,18407000
200,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,니트 셔츠_라운드_ZB,59.46282098908463,84344532,2763,23241957,193133700
201,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),수트_블레이져(수트)_ZB,38.6898361577414,45642400,356,14658959,70844000
202,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,수트_수트팬츠_ZB,38.63876987377122,23495800,369,7784216,36531000
203,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,T-에리,스웨터_T-에리_ZB,62.62764761433647,22438323,601,5918854,60039900
204,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,스웨터_라운드_ZB,60.74852371170274,98541477,2566,21802177,237543400
205,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,오픈형(CARDIGAN),스웨터_오픈형(CARDIGAN)_ZB,55.138479502095166,23241728,324,4616301,51807600
206,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,52.38313191777728,5059197,152,901223,10624800
208,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,봄,점퍼,패딩점퍼,점퍼_패딩점퍼_ZB,52.89653157089797,25871109,276,5336618,54924000
210,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,봄,코트,싱글코트,코트_싱글코트_ZB,47.50597524432314,107685591,819,21484145,203931000
211,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,사계절,니트 셔츠,라운드,니트 셔츠_라운드_ZB,0.0,0,0,0,0
212,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,사계절,데님,데님팬츠,데님_데님팬츠_ZB,21.666376685024996,13932843,218,2559304,17418200
213,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,블레이져(수트),수트_블레이져(수트)_ZB,43.50308517944835,91380484,746,26937915,148454000
214,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,수트팬츠,수트_수트팬츠_ZB,36.380956195277776,55874364,841,14843945,83259000
215,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,37.16314420972462,59265215,1877,13547626,98802300
216,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,사계절,자켓,싱글재킷,자켓_싱글재킷_ZB,40.887127947429455,15292500,130,3070352,25870000
218,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,여름,니트 셔츠,라운드,니트 셔츠_라운드_ZB,0.0,0,0,0,0
219,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,블레이져(수트),수트_블레이져(수트)_ZB,6.610205909950149,35004352,188,7964905,37412000
220,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,수트팬츠,수트_수트팬츠_ZB,7.432710190050308,22490800,244,5191583,24156000
221,2021-02-21,ZB,1:남성,2021,01_시즌,당해년도,여름,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,101.659664181914,-110210,95,601273,6640500
223,2021-02-21,ZB,4:기타,2021,01_시즌,당해년도,봄,조끼,패딩베스트,조끼_패딩베스트_ZB,82.33838421444527,2846346,204,2132587,16116000
236,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,니트 셔츠_라운드_ZB,57.35172070030606,98800844,3304,26227843,230949600
237,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),수트_블레이져(수트)_ZB,38.60341739076374,47750924,387,15745648,77013000
238,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,수트_수트팬츠_ZB,39.10166278010431,25665252,418,8740599,41382000
239,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,T-에리,스웨터_T-에리_ZB,64.81274121976332,27031943,769,7573391,76823100
240,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,스웨터_라운드_ZB,59.73330574940891,112882732,2960,24800036,272484000
241,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,오픈형(CARDIGAN),스웨터_오픈형(CARDIGAN)_ZB,58.45261440760256,25578877,385,5530812,61561500
242,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,53.53487839771102,8119780,250,1482275,17475000
244,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,봄,점퍼,패딩점퍼,점퍼_패딩점퍼_ZB,56.26387060301508,34813959,400,7734229,79600000
246,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,봄,코트,싱글코트,코트_싱글코트_ZB,60.4512064662125,140295550,1412,37301137,351588000
247,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,사계절,니트 셔츠,라운드,니트 셔츠_라운드_ZB,23.16943282147791,3837610,251,1356704,4994900
248,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,사계절,데님,데님팬츠,데님_데님팬츠_ZB,23.86613131615108,17635430,291,3416322,23250900
249,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,블레이져(수트),수트_블레이져(수트)_ZB,45.06959591724645,99644183,851,30518765,169349000
250,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,수트팬츠,수트_수트팬츠_ZB,39.59770930915292,62886301,991,17351342,98109000
251,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,37.41595486834495,65932257,2099,15268686,111750100
252,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,사계절,자켓,싱글재킷,자켓_싱글재킷_ZB,41.2079444843264,12284600,105,2479899,20895000
254,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,여름,니트 셔츠,라운드,니트 셔츠_라운드_ZB,21.816688605075782,9033320,214,1123006,11558600
255,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,블레이져(수트),수트_블레이져(수트)_ZB,34.39235170198782,47178920,357,15093926,71043000
256,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,수트팬츠,수트_수트팬츠_ZB,33.57449209610226,27378250,409,8706895,40491000
257,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,여름,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,56.181453873118656,26187935,855,5411460,59764500
258,2021-02-28,ZB,1:남성,2021,01_시즌,당해년도,여름,자켓,싱글재킷,자켓_싱글재킷_ZB,0.0,0,0,0,0
260,2021-02-28,ZB,4:기타,2021,01_시즌,당해년도,봄,조끼,패딩베스트,조끼_패딩베스트_ZB,79.05817820799206,843746,51,485370,4029000
273,2021-03-07,ZB,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,니트 셔츠_라운드_ZB,58.59317094694901,116343668,4009,31546577,280229100
274,2021-03-07,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),수트_블레이져(수트)_ZB,38.86145590728154,52483835,422,17217254,83978000
275,2021-03-07,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,수트_수트팬츠_ZB,38.39684168557669,27781231,447,9288922,44253000
276,2021-03-07,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,T-에리,스웨터_T-에리_ZB,66.44914229903192,45550020,1359,13383935,135764100
