,기간,주차,라인,성별,기획년도,시즌이월,상품년차,시즌,복종,소품종,CAT,총입고수량,총입고원가,총입고택가,총출고수량,총출고원가,총출고택가,판매액,판매수량,매출원가,판매택가,총판매액,총판매수량,총매출원가,총판매택가,물류재고수량,물류재고원가,물류재고택가,매장재고수량,매장재고원가,매장재고택가,재고수량,재고원가,재고택가,기간입고수량,기간입고원가,기간입고택가,기간출고수량,기간출고원가,기간출고택가
54,당해,20210103,ZA,1:남성,2021,01_시즌,당해년도,사계절,소품,타이,10_ACC/ETC,4508,28490560,179869200,1728,10920960,68947200,1699690,45,284400,1795500,9492010,246,1554720,9815400,2780,17569600,110922000,1482,9366240,59131800,4262,26935840,170053800,0,0,0,37,233840,1476300
55,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,02_SHIRTS,10500,62255544,733950000,6149,36458032,429815100,3728040,62,367604,4333800,9238660,156,924940,10904400,4351,25797512,304134900,5993,35533093,418910700,10344,61330604,723045600,0,0,0,44,260880,3075600
56,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,블레이져(수트),09_SUITS,1937,69177172,385463000,1297,46320492,258103000,2092000,19,678558,3781000,11264600,99,3535643,19701000,640,22856680,127360000,1198,42784849,238402000,1838,65641529,365762000,0,0,0,38,1357115,7562000
57,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,오픈형(CARDIGAN),03_SWEATER,5717,76011425,914148300,3338,44380994,533746200,3173700,37,492179,5916300,9204930,107,1422638,17109300,2379,31630431,380402100,3231,42958356,516636900,5610,74588787,897039000,975,12953991,155902500,75,996518,11992500
58,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,T-에리,03_SWEATER,9971,98198194,996102900,2970,29249990,296703000,5324670,63,618225,6293700,5324670,63,620454,6293700,7001,68948204,699399900,2907,28629536,290409300,9908,97577740,989809200,9971,96179170,996102900,2970,28772887,296703000
59,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,02_SHIRTS,38938,284885502,2332386200,12089,87897540,724131100,15861692,352,2562884,21084800,133267916,2974,21632160,178142600,26847,196973275,1608135300,9115,66265380,545988500,35962,263238655,2154123800,0,0,0,284,2072128,17011600
60,당해,20210103,ZE,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,01_KNIT,17148,105951285,1198645200,17118,105765926,1196548200,214516,7,43250,489300,1236956,49,302753,3425100,30,185359,2097000,17069,105463173,1193123100,17099,105648532,1195220100,0,0,0,-30,-185359,-2097000
61,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,코트,싱글코트,06_OUTER,3503,88674540,872247000,1943,49184879,483807000,19646100,79,1999797,19671000,19646100,79,1999797,19671000,1560,39489661,388440000,1864,47185082,464136000,3424,86674743,852576000,0,0,0,1943,49184879,483807000
62,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,수트팬츠,09_SUITS,5406,82742406,535194000,4584,67781685,453816000,27292700,399,4154178,39501000,90889564,1298,19728241,128502000,822,14960721,81378000,3286,48053444,325314000,4108,63014165,406692000,0,0,0,272,1734841,26928000
63,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,사계절,소품,신발,10_ACC/ETC,3110,124400000,497289000,1664,66560000,266073600,8938410,57,2280000,9114300,63601179,407,16280000,65079300,1444,57760000,230895600,1257,50280000,200994300,2701,108040000,431889900,0,0,0,31,1240000,4956900
